CRASH DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/02/2020,20:02,BROOKLYN,11230,40.6094,-73.967674,"(40.6094, -73.967674)",AVENUE P                        ,OCEAN PARKWAY,,1,0,1,0,0,0,0,0,Unspecified,,,,,4363713,Sedan,,,,
11/02/2020,4:51,STATEN ISLAND,10306,40.582195,-74.1103,"(40.582195, -74.1103)",RICHMOND ROAD                   ,MIDLAND AVENUE,,0,0,0,0,0,0,0,0,Fell Asleep,,,,,4363414,Sedan,,,,
11/02/2020,17:18,QUEENS,11365,40.733055,-73.80398,"(40.733055, -73.80398)",165 STREET                      ,69 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4363692,Sedan,Sedan,,,
11/02/2020,6:40,QUEENS,11421,40.690575,-73.84742,"(40.690575, -73.84742)",,,96-18     91 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4364258,Sedan,,,,
11/02/2020,6:50,QUEENS,11413,40.676117,-73.74046,"(40.676117, -73.74046)",MERRICK BOULEVARD               ,230 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4363447,Sedan,School Bus,,,
11/02/2020,19:20,BROOKLYN,11211,40.709366,-73.95395,"(40.709366, -73.95395)",,,330       SOUTH 3 STREET                ,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4363721,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/02/2020,8:40,BROOKLYN,11217,40.681557,-73.980225,"(40.681557, -73.980225)",,,87        4 AVENUE                      ,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,,,,4363768,Sedan,Dump,,,
11/02/2020,11:30,BROOKLYN,11230,40.610382,-73.96538,"(40.610382, -73.96538)",,,1582      EAST 8 STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363840,PK,Sedan,,,
11/02/2020,18:05,QUEENS,11412,40.69992,-73.76517,"(40.69992, -73.76517)",KEESEVILLE AVENUE               ,HANNIBAL STREET,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,4363646,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/02/2020,18:05,QUEENS,11377,40.756985,-73.90737,"(40.756985, -73.90737)",31 AVENUE                       ,54 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4363748,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,8:08,BROOKLYN,11207,40.666298,-73.88287,"(40.666298, -73.88287)",,,748       NEW LOTS AVENUE               ,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,4363425,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,5:29,QUEENS,11377,40.748993,-73.89687,"(40.748993, -73.89687)",BROADWAY                        ,69 STREET,,1,0,0,0,0,0,1,0,Other Vehicular,,,,,4363399,Sedan,,,,
11/02/2020,15:23,BROOKLYN,11236,40.648106,-73.91852,"(40.648106, -73.91852)",AVENUE B                        ,EAST 87 STREET,,5,0,1,0,0,0,4,0,Unspecified,Unspecified,,,,4364444,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,19:50,BROOKLYN,11211,40.71218,-73.93973,"(40.71218, -73.93973)",,,850       GRAND STREET                  ,0,0,0,0,0,0,0,0,View Obstructed/Limited,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4363718,Bus,Bike,,,
11/02/2020,13:24,BROOKLYN,11203,40.66254,-73.93514,"(40.66254, -73.93514)",,,841       EAST NEW YORK AVENUE          ,1,0,0,0,0,0,1,0,View Obstructed/Limited,Unspecified,,,,4363814,Sedan,Sedan,,,
11/02/2020,14:25,BROOKLYN,11203,40.650517,-73.92359,"(40.650517, -73.92359)",KINGS HIGHWAY                   ,SNYDER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4363792,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,18:12,BRONX,10452,40.833916,-73.92702,"(40.833916, -73.92702)",WOODYCREST AVENUE               ,WEST 165 STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Failure to Yield Right-of-Way,Unspecified,,,4363933,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
11/02/2020,17:50,BROOKLYN,11215,40.662468,-73.99226,"(40.662468, -73.99226)",5 AVENUE                        ,19 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4364013,Sedan,Bike,,,
11/02/2020,8:15,MANHATTAN,10036,40.759624,-73.99548,"(40.759624, -73.99548)",WEST 42 STREET                  ,10 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4363680,Tow Truck / Wrecker,Tractor Truck Diesel,,,
11/02/2020,15:40,QUEENS,11436,40.680477,-73.7921,"(40.680477, -73.7921)",SUTPHIN BOULEVARD               ,FOCH BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,4363663,Sedan,,,,
11/02/2020,12:30,BROOKLYN,11210,40.629505,-73.94416,"(40.629505, -73.94416)",AVENUE I                        ,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363881,Sedan,Sedan,,,
11/02/2020,12:40,BROOKLYN,11230,40.617405,-73.96346,"(40.617405, -73.96346)",,,1122      CHESTNUT AVENUE               ,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4363818,Sedan,,,,
11/02/2020,22:00,BROOKLYN,11236,40.6358,-73.903595,"(40.6358, -73.903595)",AVENUE K                        ,EAST 88 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4364249,Sedan,,,,
11/02/2020,11:11,BROOKLYN,11215,40.67216,-73.98721,"(40.67216, -73.98721)",6 STREET                        ,4 AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4363769,Sedan,Box Truck,,,
11/02/2020,6:00,QUEENS,11434,40.667522,-73.78063,"(40.667522, -73.78063)",NORTH CONDUIT AVENUE            ,ROCKAWAY BOULEVARD,,1,0,1,0,0,0,0,0,Unspecified,,,,,4363667,Sedan,,,,
