EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
524950,Shooting Permit,01/01/2020 02:00:00 PM,01/01/2020 11:59:00 PM,12/30/2019 08:30:00 AM,"Mayor's Office of Film, Theatre & Broadcasting",BROADWAY between WEST   63 STREET and WEST   62 STREET,Manhattan,"4, 5, 7","18, 20",Film,Feature,United States of America,"10019, 10023"
524007,Theater Load in and Load Outs,01/02/2020 12:01:00 AM,01/06/2020 11:59:00 PM,12/17/2019 02:37:09 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   33 STREET between 7 AVENUE and 8 AVENUE,  WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET",Manhattan,"4, 5",14,Theater,Theater,United States of America,"10001, 10121"
525144,Shooting Permit,01/02/2020 04:00:00 AM,01/02/2020 10:00:00 PM,12/31/2019 01:38:24 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,Cable-daily,United States of America,"10036, 10105"
524943,Shooting Permit,01/02/2020 11:00:00 AM,01/02/2020 10:00:00 PM,12/29/2019 08:04:42 PM,"Mayor's Office of Film, Theatre & Broadcasting",EAST   23 STREET between 1 AVENUE and 2 AVENUE,Manhattan,6,13,Film,Feature,United States of America,10010
524947,Shooting Permit,01/02/2020 04:00:00 PM,01/03/2020 09:00:00 PM,12/30/2019 02:25:50 AM,"Mayor's Office of Film, Theatre & Broadcasting","OLD FULTON STREET between ELIZABETH PLACE and FRONT STREET,  WATER STREET between OLD FULTON STREET and NEW DOCK STREET",Brooklyn,2,84,Film,Feature,United States of America,11201
525113,Shooting Permit,01/02/2020 04:00:00 PM,01/03/2020 02:00:00 AM,12/31/2019 09:35:36 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   49 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Film,Feature,United States of America,10019
523820,Theater Load in and Load Outs,01/03/2020 12:01:00 AM,01/03/2020 11:59:00 PM,12/16/2019 02:18:40 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
525156,Shooting Permit,01/03/2020 11:00:00 AM,01/03/2020 11:00:00 PM,12/31/2019 03:17:40 PM,"Mayor's Office of Film, Theatre & Broadcasting",EAST   23 STREET between 1 AVENUE and 2 AVENUE,Manhattan,6,13,Film,Feature,United States of America,10010
524649,Shooting Permit,01/03/2020 12:00:00 PM,01/03/2020 11:30:00 PM,12/23/2019 02:47:18 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   45 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,"14, 18",Theater,Theater,United States of America,10036
525102,Shooting Permit,01/03/2020 03:00:00 PM,01/04/2020 03:00:00 AM,12/31/2019 04:54:54 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   24 STREET between 5 AVENUE and 6 AVENUE,  WHITE STREET between BROADWAY and CORTLANDT ALLEY",Manhattan,"1, 5","13, 5",Film,Feature,United States of America,"10010, 10013"
523824,Theater Load in and Load Outs,01/04/2020 12:01:00 AM,01/05/2020 06:00:00 AM,12/16/2019 02:29:37 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
525149,Theater Load in and Load Outs,01/04/2020 01:00:00 AM,01/04/2020 11:59:00 PM,12/31/2019 02:09:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST  176 STREET between BROADWAY and WADSWORTH AVENUE,  WADSWORTH AVENUE between WEST  176 STREET and WEST  175 STREET",Manhattan,12,33,Theater,Theater,United States of America,10033
525258,Shooting Permit,01/04/2020 11:00:00 AM,01/04/2020 11:00:00 PM,01/02/2020 09:21:42 AM,"Mayor's Office of Film, Theatre & Broadcasting",7 AVENUE between WEST   27 STREET and WEST   28 STREET,Manhattan,5,"10, 13",Film,Feature,United States of America,10001
525124,Shooting Permit,01/04/2020 03:00:00 PM,01/05/2020 02:00:00 AM,12/31/2019 10:40:39 AM,"Mayor's Office of Film, Theatre & Broadcasting","GREENWICH STREET between WATTS STREET and DEBROSSES STREET,  LAIGHT STREET between HUDSON STREET and GREENWICH STREET",Manhattan,"1, 5","1, 14, 18",Film,Feature,United States of America,"10013, 10019, 10020, 10036, 10105, 10119"
525279,Shooting Permit,01/05/2020 12:01:00 AM,02/04/2020 11:59:00 PM,01/02/2020 09:57:53 AM,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET",Manhattan,7,20,Television,Not Applicable,United States of America,10023
521535,Shooting Permit,01/05/2020 08:00:00 AM,01/05/2020 08:00:00 PM,12/02/2019 06:14:06 PM,"Mayor's Office of Film, Theatre & Broadcasting",6 AVENUE between WEST   52 STREET and WEST   53 STREET,Manhattan,5,18,Television,Cable-other,United States of America,10019
525411,Shooting Permit,01/06/2020 12:01:00 AM,12/31/2020 01:00:00 AM,01/02/2020 04:58:34 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   53 STREET between BROADWAY and 8 AVENUE,  BROADWAY between WEST   53 STREET and WEST   54 STREET",Manhattan,5,18,Television,Talk Show,United States of America,10019
524283,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/19/2019 11:29:06 AM,"Mayor's Office of Film, Theatre & Broadcasting","COOPER AVENUE between 83 STREET and 84 STREET,  83 STREET between DORAN AVENUE and COOPER AVENUE",Queens,5,104,Television,Episodic series,United States of America,11385
524196,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 09:00:00 PM,12/18/2019 04:09:09 PM,"Mayor's Office of Film, Theatre & Broadcasting",MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,Brooklyn,1,94,Television,Episodic series,United States of America,11222
525140,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:30:00 PM,12/31/2019 01:01:40 PM,"Mayor's Office of Film, Theatre & Broadcasting","MONTAGUE STREET between COURT STREET and CLINTON STREET,  EVERIT STREET between DOUGHTY STREET and OLD FULTON STREET",Brooklyn,2,84,Still Photography,Not Applicable,United States of America,11201
525201,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 11:00:00 PM,01/01/2020 01:43:32 PM,"Mayor's Office of Film, Theatre & Broadcasting",35 STREET between 34 AVENUE and 35 AVENUE,Queens,1,114,Television,Episodic series,United States of America,11106
525544,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 08:00:00 PM,01/03/2020 02:29:35 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   55 STREET between 9 AVENUE and 10 AVENUE,Manhattan,"14, 4","18, 70",WEB,Not Applicable,United States of America,"10019, 11226"
524452,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/20/2019 12:01:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","37 STREET between 34 AVENUE and 35 AVENUE,  35 AVENUE between 35 STREET and 36 STREET",Queens,1,114,Television,Episodic series,United States of America,"11101, 11106"
524305,Shooting Permit,01/06/2020 06:00:00 AM,01/07/2020 12:00:00 AM,12/19/2019 01:19:37 PM,"Mayor's Office of Film, Theatre & Broadcasting","ALBION AVENUE between BARNWELL AVENUE and QUEENS BOULEVARD,  BARNWELL AVENUE between QUEENS BOULEVARD and POYER STREET,  BARNWELL AVENUE between ALBION AVENUE and QUEENS BOULEVARD,  SOUTH RAILROAD AVENUE between CORNISH AVENUE and POYER STREET",Queens,4,110,Television,Episodic series,United States of America,11373
524036,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/17/2019 04:44:34 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAGLE STREET between WEST STREET and FRANKLIN STREET,  WEST STREET between FREEMAN STREET and EAGLE STREET,  FREEMAN STREET between FRANKLIN STREET and WEST STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
524821,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/26/2019 05:07:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","RAILROAD AVE. between DEAD END and GREENPOINT AVENUE,  JEWEL STREET between CALYER STREET and MESEROLE AVENUE,  CALYER STREET between DIAMOND STREET and JEWEL STREET,  MESEROLE AVENUE between HUMBOLDT STREET and MOULTRIE STREET,  HUMBOLDT STREET between MESEROLE AVENUE and NORMAN AVENUE",Queens,"1, 2","108, 94",Television,Episodic series,United States of America,"11101, 11222"
524687,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/24/2019 09:19:18 AM,"Mayor's Office of Film, Theatre & Broadcasting","9 AVENUE between WEST   20 STREET and WEST   22 STREET,  WEST   22 STREET between 8 AVENUE and 9 AVENUE",Manhattan,4,10,Television,Episodic series,United States of America,10011
523554,Theater Load in and Load Outs,01/06/2020 06:00:00 AM,01/20/2020 11:59:00 PM,12/13/2019 01:58:51 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   20 STREET between 8 AVENUE and 9 AVENUE,Manhattan,4,10,Theater,Theater,United States of America,10011
524504,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/20/2019 02:24:17 PM,"Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between DIAMOND STREET and JEWEL STREET,  JEWEL STREET between MESEROLE AVENUE and CALYER STREET,  DIAMOND STREET between MESEROLE AVENUE and CALYER STREET,  CALYER STREET between JEWEL STREET and MOULTRIE STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
525123,Shooting Permit,01/06/2020 07:00:00 AM,01/06/2020 10:00:00 PM,12/31/2019 10:33:57 AM,"Mayor's Office of Film, Theatre & Broadcasting","CALYER STREET between JEWEL STREET and HUMBOLDT STREET,  JEWEL STREET between CALYER STREET and MESEROLE AVENUE,  MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  MESEROLE AVENUE between JEWEL STREET and MOULTRIE STREET,  JAVA STREET between WEST STREET and DEAD END,  KENT STREET between WEST STREET and DEAD END,  GREENPOINT AVENUE between WEST STREET and DEAD END",Brooklyn,1,94,Television,Episodic series,United States of America,11222
